#Packet, Throughput, Average Delay, Delivery Ratio, Drop Ratio
100,10727748.447636168, 0.024000132839274203, 0.9989267911054052, 0.0007723092045215193
200,21272911.198353793, 0.024000133182063177, 0.9993067187555349, 0.00038965442207164583
300,31645696.418785375, 0.02400013338719003, 0.9994318201149288, 0.00026197515658969587
400,41846104.122021526, 0.024000133667518502, 0.9994930924192872, 0.00019813138941566678
500,50925631.235553406, 0.024000134010207477, 0.9993171723748661, 0.00026002414207888243
