#Node, Throughput, Average Delay, Delivery Ratio, Drop Ratio
20,24985588.588124122, 0.024000133959963477, 0.9992718781235997, 0.00029728052941784715
40,22882912.385572035, 0.024000133816337442, 0.9991815308195982, 0.00034808459396402496
60,22882912.385572035, 0.024000133816337442, 0.9991815308195982, 0.00034808459396402496
80,22882912.385572035, 0.024000133816337442, 0.9991815308195982, 0.00034808459396402496
100,22882912.385572035, 0.024000133816337442, 0.9991815308195982, 0.00034808459396402496
