#Packet, Throughput, Average Delay, Delivery Ratio, Drop Ratio
100,11771383.478108568, 0.024000133078885082, 0.9989213795372901, 0.0006215778937650253
200,23224972.99648062, 0.02400013367316999, 0.9990963352920459, 0.0003475633492131166
300,34502521.92740143, 0.02400013393978133, 0.9992044327137268, 0.00023399037831564365
400,45573648.83939171, 0.024000134504851285, 0.9992559312905694, 0.0001771592165310808
500,56446974.02640009, 0.024000134857762347, 0.9992848070123242, 0.0001430385975351589
