#Flow, Throughput, Average Delay, Delivery Ratio, Drop Ratio
10,16105654.219126713, 0.02400013346971634, 0.9996723525753757, 0.00019391378192054886
20,23224972.99648062, 0.02400013367316999, 0.9990963352920459, 0.0003475633492131166
30,23764090.16682062, 0.02400013361801794, 0.9988951427031874, 0.0005614848557572574
40,25625554.404339194, 0.024000134055574038, 0.9985433999647394, 0.0008689227876050473
50,25625554.404339194, 0.024000134055574038, 0.9983338649297453, 0.0010785811411976028
