#Flow, Throughput, Average Delay, Delivery Ratio, Drop Ratio
10,15959672.450292578, 0.024000133657716395, 0.9998447728959978, 0.0001552271040021597
20,22882912.385572035, 0.024000133816337442, 0.9991815308195982, 0.00034808459396402496
30,23444654.037263468, 0.024000133761270075, 0.9990726968912392, 0.0005600543528158799
40,25528484.605778996, 0.024000133894308828, 0.9988619503641759, 0.0007165497707040734
50,25528484.605778996, 0.024000133894308828, 0.998651484631139, 0.0009271043160920025
