#Packet, Throughput, Average Delay, Delivery Ratio, Drop Ratio
100,10725809.206328385, 0.024000132762861275, 0.9989265973134838, 0.0007724486622593622
200,21267739.88833061, 0.024000133047292323, 0.9993065503155956, 0.00038974909269448224
300,31637293.040210422, 0.024000133235336236, 0.9994316692927856, 0.00026204469733837456
400,41834468.67505843, 0.02400013341627636, 0.9994929515112362, 0.00019818646515135525
500,51859268.11872141, 0.024000133581567655, 0.9995286574211539, 0.00015988272498302543
