#Node, Throughput, Average Delay, Delivery Ratio, Drop Ratio
20,24722713.661945555, 0.02400013334496832, 0.9991597297203163, 0.00031782243739333357
40,21272911.198353793, 0.024000133182063177, 0.9993067187555349, 0.00038965442207164583
60,21272911.198353793, 0.024000133176999276, 0.9993067187555349, 0.00038965442207164583
80,21272911.198353793, 0.024000133182063177, 0.9993067187555349, 0.00038965442207164583
100,21272911.198353793, 0.024000133182063177, 0.9993067187555349, 0.00038965442207164583
