#Queue, Throughput, Average Delay, Delivery Ratio, Drop Ratio
5,376228.5714285717, 0.02400000000000002, 0.24444444444444444, 0.6444444444444445
10,1013106.3829787237, 0.02400015624999999, 0.64, 0.36
20,1662280.1885086328, 0.02400034545454546, 0.9322033898305084, 0.06779661016949153
50,2343752.1114579537, 0.02400038333333335, 1.0, 0.0
100,2343752.1114579537, 0.02400038333333335, 1.0, 0.0
