#Packet, Throughput, Average Delay, Delivery Ratio, Drop Ratio, Energy Per Packet, Energy Per byte
100,1246.2624642529934, 0.04109514416859855, 0.8844361602982292, 0.19850885368126747, 8.142208640674395, 0.4960808936825887
200,1522.78294938771, 0.040372607110729625, 0.891354246365723, 0.22111706197398623, 9.005322746781117, 0.5512400693568726
300,1160.4899063639841, 0.043694013806122485, 0.882, 0.228, 7.762336734693878, 0.47203399062327633
400,1253.9435888400687, 0.04002835140628281, 0.8793738489871087, 0.19797421731123388, 8.130680628272259, 0.49545686574783093
500,1310.2718358119555, 0.04484964100700705, 0.881729920564872, 0.24007060900264784, 8.313702702702706, 0.5071683561309235
