#Node, Throughput, Average Delay, Delivery Ratio, Drop Ratio, Energy Per Packet, Energy Per byte
20,1685.9492631381163, 0.0584279386199377, 0.9067796610169492, 0.2076271186440678, 7.325199376947051, 0.44677731331940024
40,1522.78294938771, 0.040372607110729625, 0.891354246365723, 0.22111706197398623, 9.005322746781117, 0.5512400693568726
60,420.2009860344009, 0.04329969062585029, 0.708433734939759, 0.5975903614457831, 7.974574829931974, 0.44640613099771526
80,1823.9495353646346, 0.06609858928185051, 0.9207077326343381, 0.0963302752293578, 7.335039145907461, 0.4520850149148966
100,1622.9950931147089, 0.040559490152051444, 0.8974729241877256, 0.16173285198555956, 10.981018503620277, 0.673313239936859
