#Node, Throughput, Average Delay, Delivery Ratio, Drop Ratio, Energy Per Packet, Energy Per byte
20,1798.3885926766834, 0.1231357926475771, 0.908, 0.20733333333333334, 7.622640969162979, 0.4623279747060909
40,1408.2061742971675, 0.04882170739814818, 0.8940397350993378, 0.16804635761589404, 8.53400185185185, 0.5236773863636363
60,1407.17725483112, 0.05161967807793417, 0.8838174273858921, 0.2091286307053942, 8.478121126760556, 0.5133726972936088
80,1974.3717641102703, 0.07859843010481218, 0.9193939393939394, 0.10848484848484849, 7.843453526697432, 0.48218994164370255
100,1097.4751744483242, 0.06239002388149956, 0.8490759753593429, 0.25770020533880905, 15.026623941958885, 0.9065522322731251
