Coverage_Area, Throughput, Average Delay, Delivery Ratio, Drop Ratio, Energy Per Packet, Energy Per byte
1,1180.0127646894675, 0.05000643265346529, 0.8765670202507232, 0.15525554484088716, 7.827541254125419, 0.482454231082181
2,611.2894983880886, 0.04660032302869756, 0.761344537815126, 0.3630252100840336, 9.945991169977923, 0.5897295811518323
3,1312.5121638165192, 0.05152082630130134, 0.8778558875219684, 0.2750439367311072, 8.356440440440442, 0.5089053889295295
4,1412.3667834485002, 0.04872940322870368, 0.8940397350993378, 0.22350993377483444, 8.633629629629633, 0.5282302288692501
5,1367.5602233572267, 0.04738961992057416, 0.8870967741935484, 0.23174872665534804, 8.495107177033493, 0.5193884273344255
