Coverage_Area, Throughput, Average Delay, Delivery Ratio, Drop Ratio, Energy Per Packet, Energy Per byte
1,1279.2272906058588, 0.04788962710896127, 0.8902991840435177, 0.16228467815049863, 8.143817718940936, 0.5002019639729797
2,1408.2061742971675, 0.04882170739814818, 0.8940397350993378, 0.16804635761589404, 8.53400185185185, 0.5236773863636363
3,489.9917392838554, 0.03898919298882689, 0.7521008403361344, 0.4684873949579832, 8.908997206703914, 0.5208068256041805
4,1382.282378815788, 0.042082665385781974, 0.8880471380471381, 0.19696969696969696, 8.520530805687207, 0.5203264644593658
5,1347.7173181739483, 0.043338497943579746, 0.8900432900432901, 0.1974025974025974, 8.41464591439688, 0.5135511754927566
